Date,Interest
2021/1/1,100
2021/1/2,96
2021/1/3,88
2021/1/4,62
2021/1/5,59
2021/1/6,51
2021/1/7,49
2021/1/8,56
2021/1/9,67
2021/1/10,76
2021/1/11,57
2021/1/12,54
2021/1/13,58
2021/1/14,56
2021/1/15,59
2021/1/16,77
2021/1/17,83
2021/1/18,78
2021/1/19,69
2021/1/20,58
2021/1/21,58
2021/1/22,62
2021/1/23,79
2021/1/24,83
2021/1/25,60
2021/1/26,58
2021/1/27,59
2021/1/28,58
2021/1/29,59
2021/1/30,82
2021/1/31,85
2021/2/1,67
2021/2/2,58
2021/2/3,57
2021/2/4,53
2021/2/5,56
2021/2/6,71
2021/2/7,75
2021/2/8,49
2021/2/9,52
2021/2/10,52
2021/2/11,53
2021/2/12,60
2021/2/13,71
2021/2/14,85
2021/2/15,76
2021/2/16,62
2021/2/17,55
2021/2/18,57
2021/2/19,59
2021/2/20,71
2021/2/21,81
2021/2/22,59
2021/2/23,52
2021/2/24,48
2021/2/25,49
2021/2/26,50
2021/2/27,70
2021/2/28,70
2021/3/1,58
2021/3/2,51
2021/3/3,49
2021/3/4,49
2021/3/5,49
2021/3/6,61
2021/3/7,66
2021/3/8,47
2021/3/9,46
2021/3/10,44
2021/3/11,44
2021/3/12,49
2021/3/13,61
2021/3/14,66
2021/3/15,44
2021/3/16,45
2021/3/17,44
2021/3/18,45
2021/3/19,46
2021/3/20,57
2021/3/21,63
2021/3/22,46
2021/3/23,44
2021/3/24,45
2021/3/25,45
2021/3/26,47
2021/3/27,58
2021/3/28,63
2021/3/29,48
2021/3/30,44
2021/3/31,44
2021/4/1,46
2021/4/2,48
2021/4/3,56
2021/4/4,58
2021/4/5,48
2021/4/6,43
2021/4/7,42
2021/4/8,42
2021/4/9,44
2021/4/10,57
2021/4/11,58
2021/4/12,46
2021/4/13,43
2021/4/14,44
2021/4/15,42
2021/4/16,43
2021/4/17,56
2021/4/18,59
2021/4/19,45
2021/4/20,45
2021/4/21,45
2021/4/22,46
2021/4/23,47
2021/4/24,64
2021/4/25,69
2021/4/26,53
2021/4/27,44
2021/4/28,45
2021/4/29,44
2021/4/30,46
2021/5/1,55
2021/5/2,62
2021/5/3,48
2021/5/4,46
2021/5/5,43
2021/5/6,42
2021/5/7,45
2021/5/8,55
2021/5/9,61
2021/5/10,48
2021/5/11,45
2021/5/12,43
2021/5/13,42
2021/5/14,45
2021/5/15,59
2021/5/16,64
2021/5/17,48
2021/5/18,44
2021/5/19,43
2021/5/20,41
2021/5/21,44
2021/5/22,50
2021/5/23,60
2021/5/24,45
2021/5/25,43
2021/5/26,41
2021/5/27,43
2021/5/28,47
2021/5/29,55
2021/5/30,63
2021/5/31,63
2021/6/1,49
2021/6/2,44
2021/6/3,44
2021/6/4,46
2021/6/5,52
2021/6/6,57
2021/6/7,45
2021/6/8,45
2021/6/9,44
2021/6/10,44
2021/6/11,47
2021/6/12,55
2021/6/13,59
2021/6/14,47
2021/6/15,45
2021/6/16,42
2021/6/17,43
2021/6/18,46
2021/6/19,52
2021/6/20,53
2021/6/21,47
2021/6/22,46
2021/6/23,46
2021/6/24,47
2021/6/25,46
2021/6/26,59
2021/6/27,62
2021/6/28,49
2021/6/29,49
2021/6/30,49
